Date,ID,SYMBOL,MIC,FREE_FLOAT_PERCENTAGE,EST_VOL,MDV_63,Open,High,Low,Close,Volume,PxAdjFactor,SharesAdjFactor
20140805,BBG000BLBVN4,PCLN,XNGS,99.1603,0.20385,840619800.0,1295.38,1306.78,1269.54,1281.21,958574.0,1.0,1.0
20140805,BBG000BVPV84,AMZN,XNGS,81.6952,0.19798,1066064260.0,313.3,314.55,310.06,312.32,2855471.0,1.0,1.0
20140805,BBG000GZQ728,XOM,XNYS,99.7406,0.1447099999999999,875299840.0,99.48,99.54,97.78,98.2,13060598.0,1.1716027,1.0
20140805,BBG000C0G1D1,INTC,XNGS,99.9179,0.17848,874259650.0,33.76,33.78,32.595,32.82,49828336.0,1.2504587,1.0
20140805,BBG000CKGBP2,GILD,XNGS,99.1124,0.20045,903271740.0,92.25,93.075,91.6,92.27,10244681.0,2.0,0.5
20140805,BBG000BCTLF6,BAC,XNYS,99.9383,0.15823,947156700.0,15.01,15.2,14.9,15.0,64941868.0,1.1052204,1.0
20140805,BBG000BHSKN9,GOOGL,XNGS,99.7507,0.13773,989335700.0,579.38,580.2,570.31,573.14,1648328.0,1.9980619,1.0
20140805,BBG000BPH459,MSFT,XNGS,91.3269,0.1852,1091099000.0,43.31,43.46,42.83,43.08,26258882.0,1.1740963,1.0
20140805,BBG000CL9VN6,NFLX,XNGS,95.3496,0.2416699999999999,1053243600.0,421.3,428.0,420.31,422.85,1523309.0,1.0,1.0
20140805,BBG000MM2P62,FB,XNGS,98.4089,0.2162599999999999,2888860000.0,73.2,73.59,72.18,72.69,34918616.0,1.0,1.0
20140805,BBG000B9XRY4,AAPL,XNGS,99.9484,0.20906,4807231000.0,95.36,95.68,94.36,95.12,55860628.0,7.3235846,0.14285715
